edad,ingreso,W,Y,efecto_real
39.96714153011233,39872.325875384275,1,66.53119176712258,10.01601036832097
33.61735698828815,47832.219939267234,1,74.78907768776162,9.181281994729511
41.47688538100692,38113.70118500058,1,62.358715436391904,10.247456788025321
50.23029856408026,45380.5770554144,0,70.57413751981265,9.40717181175945
32.658466252766644,21595.779995693214,1,61.687423843139484,14.26106859950812
32.6586304305082,53199.405610594076,1,83.40344410157564,8.759440499466262
50.79212815507391,50018.082130433366,0,83.63185375357297,8.998553952517714
42.67434729152909,37743.67053397714,0,61.03648356440532,10.29890170114638
30.305256140650478,59888.68502648608,1,89.21839120476702,8.339528993023457
40.42560043585965,64063.55206439838,0,80.65652862998927,8.12189995020811
30.365823071875376,25886.602034465388,0,37.847812235293155,12.726004352897313
30.34270246429743,38559.12832150679,1,50.22161776716464,10.186839244196497
37.41962271566034,38462.86475319053,1,73.30322417278403,10.199820691551839
15.86719755342202,35901.45348336703,1,62.107477254649694,10.57080509547222
17.750821674869673,62442.12262897623,1,76.7546133077627,8.202966068087989
29.377124707590273,47092.60791840795,1,69.75836277649245,9.246951036275533
24.87168879665576,46032.27738034084,1,64.04358864426315,9.344777434049236
38.142473325952736,19942.064533898698,1,55.95562084405198,15.029051889789455
25.91975924478789,59531.27045313839,1,86.47539170029219,8.35957889824366
20.876962986647086,31411.12407719791,1,44.50291675518193,11.367171054065677
49.65648768921554,50898.989453994924,1,86.70377704788572,8.929351096071763
32.74223699513465,54160.654069372875,1,77.84113129893754,8.692717590593082
35.67528204687924,70409.87893757976,1,96.65500241480362,7.84051049395079
20.752518137865433,30367.69401321332,1,54.62486932380665,11.585946233289159
29.556172754748175,4707.317662687623,0,18.544391846197605,25.0
36.10922589709866,52757.743171305425,1,79.0853345791454,8.790912726319549
23.490064225776973,77007.66772266281,1,95.28046796947042,7.597143971692334
38.75698018345672,68584.19529409157,1,100.7303901335089,7.916123738747573
28.99361310081195,53144.891229119385,1,78.4987943971185,8.763296816955664
32.083062502067236,42625.45721551929,1,69.46193793776762,9.692031782527907
28.98293387770603,62106.83894955966,1,78.46380455868271,8.220257275731436
53.522781845089376,35396.80700443297,0,60.26529921091189,10.6502271511369
34.86502775262066,57145.36654034329,1,87.57107252450284,8.499846306153355
24.422890710440996,57582.0523874994,1,78.45528507922042,8.473304470880901
43.225449121031886,65903.1486124832,0,90.81353052094484,8.034756369168628
22.791563500289776,91394.90058366617,1,118.81154723351094,7.1883058980617065
37.08863595004755,55886.23950768151,0,79.62358782874936,8.578698473217369
15.403298761202244,42365.54561438752,0,50.53298668348735,9.720817284413284
21.718139511015693,49616.38531712008,0,57.9205092216493,9.030926451447687
36.96861235869123,23463.861426663225,0,29.180419625729346,13.523746213942836
42.38466579995411,39579.303033664124,1,69.98285740194162,10.053146080664693
36.7136828118997,43860.76342830344,0,60.58754235516905,9.559884150829431
33.843517176117594,42138.674030981114,1,70.7584974153881,9.746233824371322
31.988963044107113,52285.32308050583,1,76.33544369984969,8.825165232163755
20.214780096325725,37663.70101426699,1,56.47931836878954,10.310152603543663
27.801557916052914,66815.46000986706,1,79.81256352576868,7.993319210411254
30.393612290402125,50003.10597377296,0,60.500072973223695,8.999751537532521
45.57122226218915,49860.495182920786,0,75.02936151801815,9.011191611039354
38.43618289568462,45081.579252306234,1,82.31561067041278,9.436401814600774
17.36959844637266,52327.860257884684,0,60.5250325623429,8.822055765596957
38.24083969394795,62376.47397001452,1,91.34228624225904,8.206337057399935
31.149177195836835,36993.0467643365,1,67.73644755572573,10.406421408706782
28.230779996940413,40128.25266387115,0,50.18917298134011,9.984019655061307
41.11676288840868,45444.10956835003,1,77.23757165474844,9.40101042576686
45.30999522495951,29811.936147901775,0,48.764483228720735,11.708722271769538
44.31280119116199,37711.13210417754,0,64.19165489221358,10.303473771285814
26.607824767773614,42856.68689683011,1,66.58433083668231,9.666716316206724
31.907876241487855,63115.83771069092,0,80.56203490134203,8.168776764348053
38.31263431403564,53938.419935028876,0,69.18174410495375,8.707932124094635
44.75545127122359,52903.848670513165,0,78.81673610417887,8.780443295262057
30.2082576215471,62763.46943251958,1,96.47772984149493,8.186566992046718
33.14341023336183,47939.42317400905,1,68.64350152983276,9.171931716283822
23.936650259939718,55856.972748933345,0,66.12650284066558,8.580573564180835
23.037933759193294,48451.67370601256,1,70.25650233695566,9.127824380505997
43.125258223941984,53980.435240994426,1,88.18014149319755,8.70504608025305
48.56240028570823,41258.62013582627,0,62.74208885223304,9.847471857798103
34.27989878419666,13417.742625853563,0,16.392540567238193,19.90563692991369
45.03532897892024,47985.81256720544,1,86.46732310625612,9.167898578770433
38.61636025047634,71341.2220414991,0,94.45193276465798,7.803428288397699
28.548802453948756,63893.23103362389,1,77.58311664834866,8.130222040183721
38.61395605508414,64480.96226886756,0,80.75009633751185,8.101690684547417
50.38036566465969,68541.96082709327,1,109.49097641491232,7.917920607852585
34.64173960890049,51329.86386442156,1,84.7860830012587,8.896367240097565
50.64643655814006,52959.73561108393,1,91.75260790182196,8.776453898273276
8.802548959102555,40735.22156848475,1,54.165689914883195,9.909756036646483
43.21902504375224,45258.90715959425,1,76.70237642385872,9.419019648325795
35.870470682381715,59236.56724656712,0,76.51717356212735,8.376292876113451
